	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
12	Process	GO:0034340	14	72	9606	OAS3,RYDEN,SAMHD1,MX2,OAS2,STAT1,IFIT1,IFIT3,IFIT2,ISG15,MX1,IFITM3,OAS1,IFI35	OAS3,C19orf66,SAMHD1,MX2,OAS2,STAT1,IFIT1,IFIT3,IFIT2,ISG15,MX1,IFITM3,OAS1,IFI35	4.6800000000000005e-21	6.01e-17	Response to type i interferon	16.22112552799726	1.2280976988933578	19.921126934393737
13	Process	GO:0051607	17	210	9606	OAS3,RYDEN,SAMHD1,MX2,OAS2,PARP9,STAT1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1	OAS3,C19orf66,SAMHD1,MX2,OAS2,PARP9,STAT1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1	1.62e-19	8.79e-16	Defense response to virus	15.056011124926227	0.847531786290743	12.760448003122024
14	Process	GO:0060337	13	67	9606	OAS3,SAMHD1,MX2,OAS2,STAT1,IFIT1,IFIT3,IFIT2,ISG15,MX1,IFITM3,OAS1,IFI35	OAS3,SAMHD1,MX2,OAS2,STAT1,IFIT1,IFIT3,IFIT2,ISG15,MX1,IFITM3,OAS1,IFI35	1.37e-19	8.79e-16	Type i interferon signaling pathway	15.056011124926227	1.2271707092523987	18.476295850687723
15	Process	GO:0009615	18	293	9606	OAS3,RYDEN,SAMHD1,MX2,OAS2,PARP9,STAT1,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1	OAS3,C19orf66,SAMHD1,MX2,OAS2,PARP9,STAT1,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1	1.23e-18	3.16e-15	Response to virus	14.500312917381596	0.727707044395585	10.551979855918884
16	Process	GO:0045087	20	703	9606	OAS3,NMI,RYDEN,SAMHD1,NLRP6,MX2,OAS2,PARP9,STAT1,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	OAS3,NMI,C19orf66,SAMHD1,NLRP6,MX2,OAS2,PARP9,STAT1,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	1.72e-14	3.67e-11	Innate immune response	10.435333935747911	0.3933768302905456	4.105018586667877
17	Process	GO:0044419	29	1899	9606	OAS3,NMI,RYDEN,SP110,SAMHD1,ITGA2,ERAP1,NLRP6,MX2,OAS2,TAP1,PARP9,STAT1,PTGS2,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,TAP2,RTN3,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	OAS3,NMI,C19orf66,SP110,SAMHD1,ITGA2,ERAP1,NLRP6,MX2,OAS2,TAP1,PARP9,STAT1,PTGS2,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,TAP2,RTN3,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	2.69e-14	4.93e-11	Interspecies interaction between organisms	10.30715308072277	0.12317519280832682	1.269585568022967
18	Process	GO:0051707	24	1256	9606	OAS3,NMI,RYDEN,SAMHD1,ERAP1,NLRP6,MX2,OAS2,PARP9,STAT1,PTGS2,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	OAS3,NMI,C19orf66,SAMHD1,ERAP1,NLRP6,MX2,OAS2,PARP9,STAT1,PTGS2,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	1.05e-13	1.69e-10	Response to other organism	9.772113295386326	0.22052376195681705	2.154983186166821
19	Process	GO:0098542	21	900	9606	OAS3,NMI,RYDEN,SAMHD1,NLRP6,MX2,OAS2,PARP9,STAT1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	OAS3,NMI,C19orf66,SAMHD1,NLRP6,MX2,OAS2,PARP9,STAT1,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	1.41e-13	1.81e-10	Defense response to other organism	9.742321425130816	0.30727894494098273	2.9936102487901284
20	Process	GO:0006955	26	1588	9606	OAS3,NMI,RYDEN,SAMHD1,ERAP1,NLRP6,MX2,OAS2,TAP1,PARP9,STAT1,IFI44,IFI44L,DPP7,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	OAS3,NMI,C19orf66,SAMHD1,ERAP1,NLRP6,MX2,OAS2,TAP1,PARP9,STAT1,IFI44,IFI44L,DPP7,IFIT1,IFIT3,IFIT2,TAP2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	2.28e-13	2.44e-10	Immune response	9.61261017366127	0.1534250095261288	1.4748148074649432
21	Process	GO:0006952	23	1296	9606	OAS3,NMI,RYDEN,SAMHD1,NLRP6,MX2,OAS2,TAP1,PARP9,STAT1,PTGS2,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	OAS3,NMI,C19orf66,SAMHD1,NLRP6,MX2,OAS2,TAP1,PARP9,STAT1,PTGS2,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14	1.87e-12	1.84e-09	Defense response	8.735182176990463	0.18842499412940664	1.6459266504187255
22	Process	GO:0045071	8	61	9606	OAS3,RYDEN,OAS2,IFIT1,ISG15,MX1,IFITM3,OAS1	OAS3,C19orf66,OAS2,IFIT1,ISG15,MX1,IFITM3,OAS1	3.4e-11	3.12e-08	Negative regulation of viral genome replication	7.505845405981558	1.0570623116275648	7.934146295566003
23	Process	GO:0048525	9	105	9606	OAS3,RYDEN,OAS2,STAT1,IFIT1,ISG15,MX1,IFITM3,OAS1	OAS3,C19orf66,OAS2,STAT1,IFIT1,ISG15,MX1,IFITM3,OAS1	6.3e-11	5.4e-08	Negative regulation of viral process	7.267606240177032	0.8723553700157751	6.339935330778591
24	Process	GO:0009605	27	2310	9606	OAS3,NMI,RYDEN,SAMHD1,ITGA2,ERAP1,NLRP6,TYMS,MX2,OAS2,PARP9,STAT1,PTGS2,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14,PALLD	OAS3,NMI,C19orf66,SAMHD1,ITGA2,ERAP1,NLRP6,TYMS,MX2,OAS2,PARP9,STAT1,PTGS2,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1,IFI35,PARP14,PALLD	1.62e-10	1.3e-07	Response to external stimulus	6.886056647693163	0.00705394391323132	0.04857385737616125
25	Process	GO:0019221	16	678	9606	OAS3,NMI,SAMHD1,MX2,OAS2,STAT1,PTGS2,IFIT1,IFIT3,IFIT2,ISG15,TRIM22,MX1,IFITM3,OAS1,IFI35	OAS3,NMI,SAMHD1,MX2,OAS2,STAT1,PTGS2,IFIT1,IFIT3,IFIT2,ISG15,TRIM22,MX1,IFITM3,OAS1,IFI35	1.77e-10	1.34e-07	Cytokine-mediated signaling pathway	6.872895201635193	0.31219244843524974	2.14566598083737
26	Process	GO:0002252	18	969	9606	OAS3,RYDEN,SAMHD1,MX2,OAS2,PARP9,STAT1,IFI44L,DPP7,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1	OAS3,C19orf66,SAMHD1,MX2,OAS2,PARP9,STAT1,IFI44L,DPP7,IFIT1,IFIT3,IFIT2,ISG15,DDX58,TRIM22,MX1,IFITM3,OAS1	4.53e-10	3.04e-07	Immune effector process	6.517126416391246	0.20825088769892908	1.3571973614596176
27	Process	GO:0034097	19	1101	9606	YBX3,OAS3,NMI,RYDEN,SAMHD1,TYMS,MX2,OAS2,STAT1,PTGS2,IFIT1,IFIT3,IFIT2,ISG15,TRIM22,MX1,IFITM3,OAS1,IFI35	YBX3,OAS3,NMI,C19orf66,SAMHD1,TYMS,MX2,OAS2,STAT1,PTGS2,IFIT1,IFIT3,IFIT2,ISG15,TRIM22,MX1,IFITM3,OAS1,IFI35	4.42e-10	3.04e-07	Response to cytokine	6.517126416391246	0.17626844162746547	1.1487637173064735
28	Process	GO:0050792	10	215	9606	OAS3,RYDEN,OAS2,STAT1,IFIT1,ISG15,TRIM22,MX1,IFITM3,OAS1	OAS3,C19orf66,OAS2,STAT1,IFIT1,ISG15,TRIM22,MX1,IFITM3,OAS1	1.47e-09	8.57e-07	Regulation of viral process	6.0670191780768015	0.606863699730783	3.681853704745302
29	Process	GO:1903900	9	153	9606	OAS3,RYDEN,OAS2,IFIT1,ISG15,TRIM22,MX1,IFITM3,OAS1	OAS3,C19orf66,OAS2,IFIT1,ISG15,TRIM22,MX1,IFITM3,OAS1	1.47e-09	8.57e-07	Regulation of viral life cycle	6.0670191780768015	0.7088532382681144	4.300626191014494
