	category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description	-log10(fdr)	enrichment	metric
12	Process	GO:0034340	8	72	9606	RYDEN,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,IFITM1	C19orf66,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,IFITM1	3.94e-13	5.06e-09	Response to type i interferon	8.2958494831602	1.1592667653881932	9.61710259649044
13	Process	GO:0060337	7	67	9606	SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,IFITM1	SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,IFITM1	2e-11	1.29e-07	Type i interferon signaling pathway	6.889410289700751	1.1325325121409486	7.802481142564493
14	Process	GO:0051607	8	210	9606	RYDEN,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,DDX58,IFITM1	C19orf66,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,DDX58,IFITM1	1.31e-09	4.19e-06	Defense response to virus	5.377785977033705	0.6943799670855424	3.7342268497257556
15	Process	GO:0045087	10	703	9606	NMI,RYDEN,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1	NMI,C19orf66,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1	8.46e-08	0.00016	Innate immune response	3.795880017344075	0.26655394980769415	1.0118068116191616
16	Process	GO:0098542	11	900	9606	NMI,RYDEN,SAMHD1,F2,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1	NMI,C19orf66,SAMHD1,F2,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1	7.42e-08	0.00016	Defense response to other organism	3.795880017344075	0.20065945054641834	0.761679198620391
17	Process	GO:0002252	11	969	9606	RYDEN,SAMHD1,NDUFC2,F2,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1	C19orf66,SAMHD1,NDUFC2,F2,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1	1.56e-07	0.00025	Immune effector process	3.6020599913279625	0.16857818293497784	0.6072287281608499
18	Process	GO:0006952	12	1296	9606	NMI,RYDEN,LGALS3BP,SAMHD1,F2,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1	NMI,C19orf66,LGALS3BP,SAMHD1,F2,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,DDX58,IFITM1	3.19e-07	0.00046	Defense response	3.337242168318426	0.08008551934056843	0.2672647722150258
19	Process	GO:0006955	13	1588	9606	NMI,RYDEN,SAMHD1,NDUFC2,F2,OAS2,IFIT1,IFIT3,IFIT2,TAP2,HLA-C,DDX58,IFITM1	NMI,C19orf66,SAMHD1,NDUFC2,F2,OAS2,IFIT1,IFIT3,IFIT2,TAP2,HLA-C,DDX58,IFITM1	3.5e-07	0.00046	Immune response	3.337242168318426	0.02660212904327742	0.08877774681027371
20	Process	GO:0034097	11	1101	9606	RIF1,NMI,RYDEN,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,IFITM1,PNPT1	RIF1,NMI,C19orf66,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,IFITM1,PNPT1	5.53e-07	0.00065	Response to cytokine	3.1870866433571443	0.11311464101399145	0.36050616154383036
21	Process	GO:0071345	10	1013	9606	RIF1,NMI,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,IFITM1,PNPT1	RIF1,NMI,SAMHD1,OAS2,IFIT1,IFIT3,IFIT2,HLA-C,IFITM1,PNPT1	2.33e-06	0.0021	Cellular response to cytokine stimulus	2.677780705266081	0.10789982946723768	0.28893208144886956
